mcEdepQuenched,BerekelyAlphaBeta
0.124457,-6.69267
1.54187,-99.9959
1.65637,-108.588
0.0965132,-5.15576
0.982551,-67.4771
0.809538,-51.8344
0.113039,-7.88956
0.429335,-27.9777
1.27198,-77.4214
0.683213,-32.8716
0.734834,-27.8982
0.668266,-42.4872
0.856955,-39.3137
0.280602,-21.0358
0.264029,-12.7552
0.77691,-47.3392
1.14993,-51.7791
0.393233,-16.3906
0.517121,-34.9873
0.424781,-22.8359
1.09248,-60.6812
0.827247,-36.0004
1.2661,-84.294
0.354367,-26.7225
0.600191,-27.6822
1.37611,-51.6187
0.927672,-59.8036
1.09223,-76.2208
1.18762,-47.3365
0.504856,-37.454
0.716173,-41.9545
0.71372,-48.2361
0.870414,-61.3407
0.394103,-16.0503
0.81814,-42.5066
0.416338,-23.2828
0.949895,-55.8099
1.29669,-74.8092
0.629331,-39.0432
1.55349,-108.615
1.21211,-84.9567
1.01742,-41.0855
1.86031,-98.4772
0.420604,-28.587
0.53702,-38.1615
0.228064,-17.0448
1.13179,-64.984
0.488424,-26.7326
1.32641,-78.1923
1.16456,-67.8536
0.634506,-40.0748
1.64172,-100.097
1.53976,-86.4552
0.28681,-18.8187
0.570282,-42.42
1.97974,-116.978
1.20351,-55.4751
0.844876,-58.3494
0.639495,-35.4035
0.1379,-4.3161
0.136572,-6.072
0.459879,-32.8746
1.20965,-68.7151
0.399812,-22.5326
1.67709,-97.6602
0.798804,-54.7374
0.593795,-36.1449
0.581987,-33.3562
0.731719,-49.7672
0.947238,-56.0486
0.991418,-68.0669
1.33604,-43.9571
0.348928,-13.3869
0.63069,-35.7718
0.511104,-30.2444
1.33458,-84.8092
0.589664,-40.3929
0.456004,-32.2898
0.925433,-54.6346
0.630257,-30.6681
0.092364,-7.23937
1.2333,-64.1869
1.59024,-94.6407
1.68367,-119.922
0.634611,-40.9515
0.756815,-25.8406
1.66354,-75.1851
0.818318,-50.4998
0.747192,-47.6678
1.35065,-61.4668
0.914203,-49.5482
0.596117,-50.6875
0.741451,-50.8016
0.121848,-10.5716
1.40627,-90.936
0.997981,-60.7007
1.07662,-71.6254
0.094401,-3.85696
0.690845,-24.2394
0.567943,-36.3843
1.00428,-62.7676
0.991487,-58.8578
0.522699,-37.1419
0.328577,-21.6884
1.54846,-83.9138
1.18753,-48.4072
1.11246,-59.8064
1.26786,-78.7661
1.10556,-72.5757
1.38099,-80.0218
0.26164,-22.1875
1.41548,-92.0868
0.0627615,-1.89088
0.801302,-39.6226
0.937717,-61.2489
0.499434,-32.2047
0.269984,-9.38644
1.53854,-97.1652
1.06984,-73.4129
0.903575,-65.1922
0.100391,-4.00902
0.586868,-36.0173
0.146101,-8.41533
0.827198,-39.762
0.651251,-28.6578
0.89986,-50.7376
0.877674,-52.9801
1.63757,-94.9407
0.766801,-55.6011
1.32359,-49.9519
1.07446,-59.8964
0.166597,-7.71911
0.603659,-40.917
0.388342,-21.9825
1.05073,-44.5565
0.709354,-54.1707
0.472439,-26.7295
0.959908,-64.1683
1.58021,-60.114
0.664655,-41.6768
1.55812,-106.427
