mcEdepQuenched,BerekelyAlphaBeta
0.0630878,-0.328792
0.0636388,1.61161
0.0621812,6.18828
0.063932,1.48598
0.0623892,6.58445
0.0616284,1.0307
0.0624684,-0.722274
0.0622088,1.5038
0.0628886,-0.287113
0.061354,2.09035
0.0645459,-3.47119
0.0619076,-1.58982
0.0634213,-0.459304
0.0623091,-2.77176
0.0613831,3.32983
0.062177,-1.46263
0.0604816,1.16929
0.0634849,1.75393
0.0626871,13.9156
0.0617755,1.7196
0.0618164,-2.74613
0.0607379,3.97903
0.0630291,-0.256685
0.061694,-1.8298
0.0627768,-2.12174
0.0631634,2.15144
0.0631951,2.06011
0.06251,-2.33843
0.0631104,1.52066
0.0618474,0.631097
0.0621118,1.87219
0.0644557,-0.321508
0.0618808,0.537168
0.0624988,3.13724
0.0623349,-2.08962
0.0625942,1.62278
0.0616845,0.0870257
0.0623653,3.93036
0.0630512,0.466293
0.0622438,-2.56748
0.0616632,4.7494
0.0620558,0.687179
0.0632623,-5.0653
0.0625365,-0.949348
0.0605708,3.53924
0.0630806,-0.504999
0.0614694,1.471
0.0602206,0.303971
0.0622458,3.69751
0.0621693,-1.87824
0.0626703,0.808395
0.0634127,4.03068
0.0623056,4.0453
0.0614973,-1.44037
0.0612851,2.83375
0.0613061,-1.5026
0.0616551,7.09503
0.0617364,5.828
0.0618068,-2.98517
0.0615925,-1.59155
0.0608709,4.45994
0.0619254,-3.42113
0.062785,-2.65672
0.0617439,0.257403
0.0631587,-0.579225
0.0612371,2.24156
0.0647777,-0.479307
0.0630099,1.73746
0.0620317,1.48997
0.0620549,-0.0744215
0.0628133,4.90324
0.0620486,0.703033
0.0622847,1.82051
0.0626128,0.658368
0.0636526,0.783362
0.0633328,7.77162
0.0624765,1.82989
0.061323,-0.333556
0.0632201,0.839404
0.0632944,1.65338
0.0616687,-1.57388
0.063268,1.2972
0.0622912,-0.506397
0.0621252,0.0479358
0.0635176,-0.444927
0.0628798,0.396083
0.0615539,0.595944
0.061101,-1.81458
0.0623926,3.50266
0.0619848,2.0491
0.0626418,0.375338
0.0613094,0.113627
0.061115,-1.78547
0.0646568,-1.06995
0.0615818,0.249575
0.0608439,2.44817
0.0618145,1.04472
0.0614691,-0.801408
0.0620803,2.99328
0.0635386,-0.571442
0.061585,1.39639
0.0623057,0.798899
0.0618697,-0.257334
0.0617748,-2.2901
0.0612319,0.78862
0.06245,-2.73437
0.0612728,-2.8775
0.0615406,2.25193
0.0623179,-1.20977
0.0615523,-0.857021
0.0613688,-0.378486
0.0628341,2.78951
0.0614565,0.811045
0.0638238,-0.586934
0.0615992,2.70861
0.0618278,1.81313
0.0644665,3.63114
0.0625669,-2.53013
0.0619023,-0.643357
0.0620991,2.22318
0.0609689,3.50852
0.0618394,2.7841
0.0632042,-2.16318
0.0605821,0.565561
0.0624832,-0.376325
0.061225,5.35722
0.0631255,4.97329
0.0644198,0.0313095
0.0613839,0.79717
0.0628641,3.91699
0.064024,2.93351
0.0613102,-2.77296
0.0629256,1.72216
0.0627201,0.16447
0.0621757,2.14724
0.0629893,2.96455
0.0607909,3.18396
0.0631273,4.88893
0.0625566,0.939939
0.0631756,3.58475
0.0636764,0.0753047
0.0637576,-0.283185
0.0598648,-0.729511
0.0614425,4.45427
0.063031,2.22209
0.0635339,2.72496
0.0619955,-0.0413164
0.0619412,-2.48619
0.0593038,6.31019
0.0630857,-0.456689
0.0638986,2.39737
0.061858,0.770537
0.0632611,0.484671
0.0608033,-2.34085
0.0635954,1.45365
0.0607048,-1.73489
0.0626978,1.92109
0.0621842,-1.77735
0.062865,0.981457
0.0625194,3.73012
0.0637753,3.99268
0.0628139,1.96869
0.059944,2.81177
0.0613275,2.6711
0.0631776,0.372892
0.0630703,0.284005
0.062095,0.791354
0.0605245,3.0151
0.0615307,3.30186
0.0621443,1.06503
0.0615887,1.62883
0.0621423,5.41234
0.0616138,-1.77517
0.0617127,-2.75262
0.0627416,2.59028
0.0623206,-0.0904367
0.0618222,5.18894
0.0630579,1.21753
0.0629649,-1.20229
0.0615192,-4.13185
0.0618838,-6.36575
0.0603118,1.61051
0.0623075,-0.0676237
0.0620516,8.34375
0.0617359,-2.94758
0.0622442,0.462192
0.0637517,1.13187
0.0624988,0.983055
0.0615396,1.63006
0.0620404,0.747632
0.0619185,3.6853
0.0599873,-0.479573
0.0631253,1.35913
0.0618702,-0.0322316
0.0613942,3.15572
0.0612512,3.2595
0.0636448,-0.574847
0.064149,3.00006
0.0624852,1.86575
0.0625112,1.68434
0.0626494,-0.134845
0.0641218,-1.62022
0.0630122,1.12053
0.0631215,0.468497
0.0608913,0.760807
0.0611876,-2.1709
