mcEdepQuenched,posr,BerekelyAlphaBeta
0.124457,5325.72,-6.69267
1.54187,4341.25,-99.9959
1.65637,5134.49,-108.588
0.0965132,4513.44,-5.15576
0.982551,4859.99,-67.4771
0.809538,5433.57,-51.8344
0.113039,4751.7,-7.88956
0.429335,5226.2,-27.9777
1.27198,3806.44,-77.4214
0.683213,5651.68,-32.8716
0.734834,5687.79,-27.8982
0.668266,5677.97,-42.4872
0.856955,5551.63,-39.3137
0.280602,3495.68,-21.0358
0.264029,2025.23,-12.7552
0.77691,1945.47,-47.3392
1.14993,5787.65,-51.7791
0.393233,3296.88,-16.3906
0.517121,4252.82,-34.9873
0.424781,3011.89,-22.8359
1.09248,3775.75,-60.6812
0.827247,5928.99,-36.0004
1.2661,4889.49,-84.294
0.354367,2974.91,-26.7225
0.600191,5467.22,-27.6822
1.37611,5965.91,-51.6187
0.927672,2892.12,-59.8036
1.09223,4962.06,-76.2208
1.18762,5992.81,-47.3365
0.504856,4920.9,-37.454
0.716173,4384.5,-41.9545
0.71372,4720.81,-48.2361
0.870414,1179.82,-61.3407
0.394103,5916.6,-16.0503
0.81814,1792.34,-42.5066
0.416338,1020.44,-23.2828
0.949895,3501.3,-55.8099
1.29669,1151.24,-74.8092
0.629331,2668.35,-39.0432
1.55349,3530.24,-108.615
1.21211,5154.16,-84.9567
1.01742,5906.86,-41.0855
1.86031,1722.79,-98.4772
0.420604,4211.35,-28.587
0.53702,3161.5,-38.1615
0.228064,4158.32,-17.0448
1.13179,3430.75,-64.984
0.488424,4492.12,-26.7326
1.32641,3001.19,-78.1923
1.16456,1803.74,-67.8536
0.634506,5058.32,-40.0748
1.64172,3170.07,-100.097
1.53976,5508.02,-86.4552
0.28681,5688.37,-18.8187
0.570282,5294.96,-42.42
1.97974,5350.85,-116.978
1.20351,5748.19,-55.4751
0.844876,3616.84,-58.3494
0.639495,4959.73,-35.4035
0.1379,3315.86,-4.3161
0.136572,4546.35,-6.072
0.459879,3089.12,-32.8746
1.20965,1697.47,-68.7151
0.399812,5338.63,-22.5326
1.67709,3725.89,-97.6602
0.798804,5082.98,-54.7374
0.593795,4846.1,-36.1449
0.581987,5174.67,-33.3562
0.731719,2538.16,-49.7672
0.947238,2553.66,-56.0486
0.991418,4376.15,-68.0669
1.33604,5879.88,-43.9571
0.348928,5649.3,-13.3869
0.63069,4878.48,-35.7718
0.511104,5029.59,-30.2444
1.33458,4704.46,-84.8092
0.589664,4472.24,-40.3929
0.456004,5653.05,-32.2898
0.925433,3595.12,-54.6346
0.630257,5473.62,-30.6681
0.092364,3034.85,-7.23937
1.2333,3260.47,-64.1869
1.59024,4082.3,-94.6407
1.68367,4670.65,-119.922
0.634611,2752.23,-40.9515
0.756815,5878.56,-25.8406
1.66354,5799.78,-75.1851
0.818318,4820.89,-50.4998
0.747192,5132.18,-47.6678
1.35065,5745.23,-61.4668
0.914203,5780.39,-49.5482
0.596117,4643.19,-50.6875
0.741451,3182.2,-50.8016
0.121848,3843.91,-10.5716
1.40627,4648.24,-90.936
0.997981,1747.41,-60.7007
1.07662,3655.22,-71.6254
0.094401,4811.35,-3.85696
0.690845,6000.25,-24.2394
